id,"strValue"
1001,"900|700|500"
1002,"cm"
1003,"300"
1004,"2|1.5|1.2"
1005,"5000"
1006,"2000"
1007,"10000|15000"
1008,"15"
1009,"25"
2001,"1300|1300|1500|1900"
2002,"1300|1300|900|1200"
2003,"7"
2004,"2000|6000|10000"
2005,"2.5"
2006,"11000"
2007,"1.25"
2008,"1"
2009,"10000|10000"
3001,"1,2|3,4|5,7|8,10"
3002,"0|2000|4000|6000"
3003,"0|1|2|3|4"
3004,"2|2|1|1|1"
3005,"6|5|4|3|2"
3006,"5|4|2|1"
3007,"1000|1000|1000|1000"
3008,"5000"
3009,"5000"
3010,"2,3.5|2,3|1.5,2.5|1.5,2.5|1.5,3"
3011,"1100|800|500"
4001,"1"
4002,"20"
4003,"75"
4004,"30"
4005,"30"
4006,"250"
4007,"2"
4008,"75"
4009,"40"
5001,"3"
5002,"20"
5003,"1"
5004,"0.2"
5005,"30"
5006,"250"
5007,"4"
5008,"10"
5009,"5"
5010,"1.3"
5011,"6"
5012,"10|20|30"
6001,"15"
6002,"4"
6003,"8|12|15"
7001,"1.5|2"
7002,"4"
7003,"4|4.5"
8001,"10"
8002,"9"
8003,"5|7|10"
9001,"3"
10001,"1.5"
10501,"4|4.5"
10502,"5.5|8"
10503,"10|15"
10504,"1.3|1.8"
10505,"0.5"
10506,"7"
10507,"20"
10508,"0|1|2"
10509,"-1|3"
10601,"15"
10602,"5|10|15"
10701,"3|4,5|6,7|8"
10702,"5|10|15"
10703,"5|8|12"
50001,"5|6"
50002,"10"
50003,"1.5|2"
50004,"15|60"
50005,"1"
50006,"2"
50007,"12"
50008,"8"
50009,"5|1|100|10"
50010,"5"
50011,"1.8"
50012,"60"
50013,"1,晶兽体|2,晶灵体|3,完全体|4,幻化体|5,神圣体"
50014,"1000"
50015,"3|7"
50016,"40"
50017,"15|3|8|2"
50018,"15"
50019,"50"
50020,"15"
50021,"60"
50022,"10"
50023,"[[1,3,3,3],[2,1,1,1],[3,2,2,2],[4,1,1,1],[5,0,0,0],[6,0,0,0],[7,0,0,0],[8,1,1,1],[9,1,1,1],[10,0,0,0],[11,0,0,0],[12,1,1,1],[13,1,1,1],[14,0,0,0]]"
50024,"30"
50025,"5|7|9|11"
50026,"8|10|12"
50027,"1|00:00:00"
50028,"20|00:00:00"
50029,"2|4|6"
50030,"2"
50031,"1|1|1"
50032,"6|10"
50033,"3"
50034,"1"
50035,"4"
50036,"6"
50037,"，|。|？|！|_|+|-|*|/|,|.|?|!"
50038,"515|1"
50039,"名垂青史,70001|节日纪念,70002|趣味科普,70003|生活常识,70005|日积月累,70004"